unitid,cipcode,awlevel,crace15,crace16
"100654",10103,"5","4","0"
"100654",20201,"5","5","0"
"100654",20301,"5","4","2"
"100654",20301,"7","6","0"
"100654",20399,"7","1","0"
"100654",20499,"5","3","0"
"100654",20501,"5","3","0"
"100654",29999,"7","2","2"
"100654",30499,"5","2","0"
"100654",40301,"5","10","1"
"100654",40301,"7","10","1"
"100654",60101,"5","11","14"
"100654",60201,"5","35","22"
"100654",60301,"5","18","8"
"100654",60401,"5","15","27"
"100654",60401,"7","57","16"
"100654",60501,"5","14","2"
"100654",60501,"7","12","2"
"100654",61401,"5","22","13"
"100654",70601,"5","1","19"
"100654",100104,"5","8","12"
"100654",110101,"5","13","26"
"100654",110101,"7","20","15"
"100654",130101,"7","9","4"
"100654",130403,"7","2","2"
"100654",130499,"5","0","14"
"100654",130499,"7","0","2"
"100654",131005,"5","0","1"
"100654",131005,"7","0","2"
"100654",131006,"5","0","3"
"100654",131006,"7","0","1"
"100654",131012,"5","0","4"
"100654",131012,"7","1","11"
"100654",131099,"7","2","1"
"100654",131202,"5","1","4"
"100654",131202,"7","2","8"
"100654",131301,"5","8","0"
"100654",131301,"7","8","0"
"100654",131302,"5","1","0"
"100654",131303,"5","0","1"
"100654",131308,"5","0","1"
"100654",131309,"5","6","0"
"100654",131311,"5","2","0"
"100654",131311,"7","1","0"
"100654",131312,"5","1","0"
"100654",131314,"5","1","0"
"100654",131315,"7","0","4"
"100654",131320,"5","1","0"
"100654",131320,"7","1","0"
"100654",139999,"5","1","1"
"100654",140801,"5","10","0"
"100654",141001,"5","4","0"
"100654",150299,"5","4","0"
"100654",150399,"5","15","4"
"100654",150603,"5","1","0"
"100654",150603,"7","13","1"
"100654",150899,"5","9","1"
"100654",159999,"5","0","1"
"100654",190101,"5","0","1"
"100654",190101,"7","0","2"
"100654",190501,"5","1","3"
"100654",190902,"5","0","3"
"100654",190999,"5","0","7"
"100654",250401,"7","0","2"
"100654",260101,"7","6","4"
"100654",260701,"5","5","9"
"100654",270101,"5","2","1"
"100654",400501,"5","1","2"
"100654",400801,"5","1","0"
"100654",400899,"7","2","1"
"100654",420101,"5","2","4"
"100654",420201,"7","2","4"
"100654",420601,"7","1","0"
"100654",429999,"7","1","1"
"100654",440701,"5","3","9"
"100654",450801,"5","2","0"
"100654",451001,"5","10","2"
"100654",451101,"5","1","8"
"100654",479999,"5","6","0"
"100654",990000,"5","281","230"
"100654",990000,"7","166","88"
"101189",60201,"5","2","0"
"101189",60401,"3","46","42"
"101189",60401,"5","3","6"
"101189",70401,"2","0","3"
"101189",70799,"2","0","3"
"101189",70799,"3","0","1"
"101189",110201,"2","0","1"
"101189",110301,"2","0","10"
"101189",131202,"5","0","3"
"101189",131205,"5","1","4"
"101189",131314,"5","1","1"
"101189",170506,"2","0","1"
"101189",170815,"2","0","3"
"101189",170819,"2","0","2"
"101189",240101,"3","7","4"
"101189",240101,"5","0","6"
"101189",260101,"5","2","0"
"101189",270101,"5","1","1"
"101189",390201,"5","8","0"
"101189",420101,"5","0","5"
"101189",450101,"5","2","0"
"101189",480101,"2","2","0"
"101189",480299,"2","0","1"
"101189",990000,"2","2","24"
"101189",990000,"3","53","47"
"101189",990000,"5","20","26"
"101709",40501,"5","0","1"
"101709",60101,"5","3","2"
"101709",60201,"5","2","7"
"101709",60301,"5","3","6"
"101709",60401,"5","20","11"
"101709",60402,"5","10","10"
"101709",80102,"5","0","15"
"101709",90701,"5","12","17"
"101709",90701,"7","2","4"
"101709",130401,"7","3","0"
"101709",131101,"5","8","11"
"101709",131101,"7","2","4"
"101709",131202,"5","2","27"
"101709",131202,"7","2","9"
"101709",131204,"5","0","20"
"101709",131204,"7","0","8"
"101709",131205,"5","0","1"
"101709",131205,"7","1","7"
"101709",131302,"7","2","0"
"101709",131308,"5","0","9"
"101709",131308,"7","0","1"
"101709",131311,"7","0","4"
"101709",131312,"5","3","3"
"101709",131312,"7","1","2"
"101709",131314,"5","5","11"
"101709",131314,"7","7","3"
"101709",170821,"5","1","15"
"101709",170821,"7","2","18"
"101709",190101,"5","0","13"
"101709",230101,"5","4","11"
"101709",230101,"7","0","6"
"101709",260101,"5","1","5"
"101709",270101,"5","3","1"
"101709",400501,"5","2","2"
"101709",420101,"5","4","9"
"101709",440701,"5","0","11"
"101709",450101,"5","1","0"
"101709",450801,"5","1","1"
"101709",450901,"5","1","3"
"101709",451001,"5","2","1"
"101709",451101,"5","0","2"
"101709",500701,"5","14","29"
"101709",500903,"7","3","0"
"101709",990000,"5","102","254"
"101709",990000,"7","25","66"
"100724",60201,"5","12","16"
"100724",60301,"5","3","2"
"100724",60401,"3","1","2"
"100724",60401,"5","11","14"
"100724",61401,"5","8","12"
"100724",70401,"3","1","1"
"100724",70401,"5","4","41"
"100724",90401,"5","6","26"
"100724",110101,"5","11","26"
"100724",130401,"7","7","2"
"100724",130501,"7","0","4"
"100724",131001,"5","1","2"
"100724",131001,"7","1","12"
"100724",131201,"7","0","1"
"100724",131202,"5","1","5"
"100724",131202,"7","4","29"
"100724",131204,"3","0","7"
"100724",131204,"5","0","4"
"100724",131204,"7","0","6"
"100724",131303,"5","0","1"
"100724",131305,"5","0","1"
"100724",131305,"7","1","0"
"100724",131311,"7","1","0"
"100724",131312,"5","4","1"
"100724",131312,"7","2","3"
"100724",131314,"5","1","4"
"100724",131314,"7","4","1"
"100724",131315,"7","1","2"
"100724",131317,"5","1","1"
"100724",131317,"7","1","1"
"100724",170309,"5","1","2"
"100724",230101,"5","1","0"
"100724",260101,"5","7","13"
"100724",260101,"7","0","1"
"100724",270101,"5","9","1"
"100724",310301,"5","6","6"
"100724",400501,"5","3","1"
"100724",420101,"5","9","10"
"100724",430104,"5","16","20"
"100724",440201,"5","6","10"
"100724",440701,"5","2","13"
"100724",449999,"7","3","8"
"100724",451001,"5","5","2"
"100724",451101,"5","2","6"
"100724",500701,"5","2","0"
"100724",500903,"5","2","0"
"100724",990000,"3","2","10"
"100724",990000,"5","134","240"
"100724",990000,"7","25","70"
"100760",60101,"3","11","16"
"100760",60201,"3","0","1"
"100760",70606,"2","0","3"
"100760",70606,"3","0","4"
"100760",110101,"3","1","1"
"100760",150302,"3","1","0"
"100760",150501,"3","1","0"
"100760",170209,"3","0","3"
"100760",170210,"3","0","1"
"100760",170309,"3","0","1"
"100760",170506,"3","0","4"
"100760",181901,"3","0","4"
"100760",220102,"3","0","1"
"100760",240101,"3","22","36"
"100760",430102,"3","5","1"
"100760",430107,"3","2","0"
"100760",990000,"2","0","3"
"100760",990000,"3","43","73"
"100812",60101,"5","56","75"
"100812",60201,"5","10","30"
