unitid,cipcode,crace15,crace16,awlevel
"100636",60101,"5","0","3"
"100636",60402,"58","17","3"
"100636",60403,"86","1","3"
"100636",60701,"9","0","3"
"100636",60702,"11","3","3"
"100636",60704,"22","3","3"
"100636",60705,"86","8","3"
"100636",60799,"0","1","3"
"100636",61201,"112","19","3"
"100636",69999,"490","95","3"
"100636",70299,"74","25","3"
"100636",70401,"356","122","3"
"100636",81106,"503","87","3"
"100636",89999,"92","21","3"
"100636",90101,"142","24","3"
"100636",99999,"154","29","3"
"100636",100101,"60","7","3"
"100636",100103,"66","11","3"
"100636",110301,"161","21","3"
"100636",130101,"53","17","3"
"100636",131319,"41","12","3"
"100636",139999,"5","0","3"
"100636",140801,"18","1","3"
"100636",141001,"617","50","3"
"100636",141401,"12","6","3"
"100636",142301,"29","1","3"
"100636",142601,"28","2","3"
"100636",149999,"112","3","3"
"100636",150399,"236","21","3"
"100636",150599,"26","0","3"
"100636",150701,"35","3","3"
"100636",169999,"158","38","3"
"100636",170101,"24","8","3"
"100636",170103,"10","3","3"
"100636",170201,"7","3","3"
"100636",170206,"12","1","3"
"100636",170208,"1","1","3"
"100636",170211,"17","4","3"
"100636",170308,"4","3","3"
"100636",170309,"22","13","3"
"100636",170405,"1","1","3"
"100636",170406,"1","0","3"
"100636",170503,"15","4","3"
"100636",170507,"21","5","3"
"100636",170512,"2","2","3"
"100636",170602,"9","3","3"
"100636",170705,"4","1","3"
"100636",170814,"5","2","3"
"100636",179999,"36","1","3"
"100636",180701,"115","40","3"
"100636",181025,"18","2","3"
"100636",189999,"14","2","3"
"100636",190501,"33","13","3"
"100636",190502,"7","2","3"
"100636",220103,"21","22","3"
"100636",309999,"99","23","3"
"100636",409999,"115","11","3"
"100636",430105,"479","17","3"
"100636",430109,"69","0","3"
"100636",430203,"93","1","3"
"100636",439999,"78","6","3"
"100636",440101,"28","14","3"
"100636",440799,"27","10","3"
"100636",469999,"46","3","3"
"100636",470103,"55","1","3"
"100636",470104,"31","4","3"
"100636",470199,"132","7","3"
"100636",470299,"58","0","3"
"100636",470401,"595","43","3"
"100636",470604,"31","0","3"
"100636",479999,"1567","99","3"
"100636",480201,"12","1","3"
"100636",480504,"119","3","3"
"100636",490101,"31","4","3"
"100636",490105,"197","29","3"
"100636",500902,"5","1","3"
"100636",990000,"8123","1061","3"
"100654",10102,"9","","5"
"100654",10102,"8","","7"
"100654",20201,"2","","7"
"100654",20301,"1","","5"
"100654",20301,"3","3","7"
"100654",20403,"1","","5"
"100654",29999,"4","3","5"
"100654",29999,"5","2","7"
"100654",40301,"5","","5"
"100654",40301,"3","","7"
"100654",60101,"5","8","5"
"100654",60201,"21","10","5"
"100654",60301,"16","9","5"
"100654",60401,"14","18","5"
"100654",60401,"52","12","7"
"100654",60501,"4","","5"
"100654",60501,"0","5","7"
"100654",61402,"5","8","5"
"100654",70601,"1","11","5"
"100654",100199,"8","10","5"
"100654",110101,"1","","3"
"100654",110101,"30","30","5"
"100654",110101,"21","3","7"
"100654",130101,"1","6","7"
"100654",130403,"","2","7"
"100654",130499,"3","2","7"
"100654",131005,"1","","5"
"100654",131005,"","3","7"
"100654",131006,"","5","5"
"100654",131006,"1","1","7"
"100654",131012,"","13","5"
"100654",131012,"","6","7"
"100654",131099,"","2","5"
"100654",131202,"","7","5"
"100654",131202,"4","31","7"
"100654",131205,"","6","7"
"100654",131301,"16","","7"
"100654",131303,"","2","7"
"100654",131311,"2","","5"
"100654",131311,"","2","7"
"100654",131312,"","2","5"
"100654",131314,"4","1","5"
"100654",131318,"1","1","7"
"100654",139999,"","10","5"
"100654",139999,"2","15","7"
"100654",140801,"14","","5"
"100654",150299,"4","","5"
"100654",150399,"15","4","5"
"100654",150603,"2","","5"
"100654",150603,"14","","7"
"100654",150899,"11","1","5"
"100654",159999,"3","","5"
"100654",190501,"","1","5"
"100654",190999,"","8","5"
"100654",199999,"","2","5"
"100654",260101,"3","","7"
"100654",260701,"3","6","5"
"100654",270101,"1","4","5"
"100654",400501,"2","","5"
"100654",400801,"2","3","5"
"100654",400801,"6","","7"
"100654",420101,"1","2","5"
"100654",420201,"1","3","7"
"100654",420601,"1","","7"
"100654",440701,"1","8","5"
"100654",451001,"13","3","5"
"100654",451101,"1","4","5"
"100654",479999,"5","","5"
"100654",990000,"1","","3"
"100654",990000,"209","193","5"
"100654",990000,"147","105","7"
"100663",60201,"29","59","5"
"100663",60201,"","2","7"
"100663",60301,"39","21","5"
"100663",60401,"33","26","5"
"100663",60401,"27","11","7"
"100663",60501,"3","","5"
"100663",61302,"","1","5"
"100663",61401,"47","39","5"
"100663",90101,"20","19","5"
"100663",110101,"58","30","5"
"100663",110101,"6","2","7"
"100663",110101,"1","","9"
"100663",130101,"1","8","5"
"100663",130401,"6","1","7"
"100663",130401,"6","3","8"
"100663",130401,"1","1","9"
"100663",130501,"","9","7"
"100663",130501,"","3","8"
"100663",130603,"","1","7"
"100663",130801,"","1","7"
"100663",130801,"","1","8"
"100663",131001,"","6","5"
"100663",131001,"6","27","7"
"100663",131202,"2","36","5"
"100663",131202,"4","74","7"
"100663",131202,"","11","8"
"100663",131204,"","36","5"
"100663",131204,"","45","7"
"100663",131204,"","9","8"
"100663",131205,"14","46","5"
"100663",131205,"11","29","7"
"100663",131205,"3","11","8"
"100663",131302,"1","1","5"
"100663",131302,"1","2","7"
"100663",131307,"4","12","5"
"100663",131307,"2","1","7"
"100663",131314,"14","9","5"
"100663",131314,"10","13","7"
"100663",131314,"","1","8"
"100663",131315,"","2","7"
"100663",139999,"4","23","7"
"100663",139999,"3","2","8"
"100663",140501,"5","2","7"
"100663",140501,"2","","9"
"100663",140801,"16","3","5"
"100663",140801,"2","1","7"
"100663",141001,"33","4","5"
"100663",141001,"4","","7"
"100663",141801,"2","6","5"
"100663",141801,"3","1","7"
"100663",141901,"16","3","5"
"100663",141901,"5","","7"
"100663",150401,"15","1","2"
"100663",160501,"","1","5"
"100663",160901,"","4","5"
"100663",160905,"","1","5"
"100663",170101,"","10","2"
"100663",170102,"","6","5"
"100663",170103,"3","2","2"
"100663",170205,"91","29","1"
"100663",170206,"38","3","2"
"100663",170208,"3","7","5"
"100663",170209,"13","33","2"
"100663",170209,"2","2","5"
"100663",170210,"4","12","2"
"100663",170299,"5","3","2"
"100663",170306,"1","2","5"
"100663",170309,"1","17","2"
"100663",170310,"3","3","5"
"100663",170503,"","13","2"
"100663",170506,"","13","2"
"100663",170508,"7","3","5"
"100663",170807,"2","21","5"
"100663",170808,"1","12","2"
"100663",170813,"5","16","7"
"100663",170815,"3","27","2"
